manik,qty
8900000634422,0
8900000634439,1
8900000634446,1
8900000634453,1
8900000634460,1
8900000634477,0
8900000634330,0
8900000634347,1
8900000634354,1
8900000634361,1
8900000634378,1
8900000634385,0
8900000634392,0
8900000618354,0
8900000618361,1
8900000618378,1
8900000618385,1
8900000618392,1
8900000618408,0
8900000618422,0
8900000618439,1
8900000618446,1
8900000618453,1
8900000618460,1
8900000618477,0
8900000616350,0
8900000616367,1
8900000616374,1
8900000616381,1
8900000616398,1
8900000616404,0
8900000620883,0
8900000620890,1
8900000620906,1
8900000620913,1
8900000620920,1
8900000620937,0
8900000622030,0
8900000622047,1
8900000622054,1
8900000622061,1
8900000622078,1
8900000622085,0
8900000626434,0
8900000626441,1
8900000626458,1
8900000626465,1
8900000626472,1
8900000626489,0
8900000626373,0
8900000626380,1
8900000626397,1
8900000626403,1
8900000626410,1
8900000626427,0
8900000628438,0
8900000628445,1
8900000628452,1
8900000628469,1
8900000628476,1
8900000628483,0
8900000622092,0
8900000622108,1
8900000622115,1
8900000622122,1
8900000622139,1
8900000622146,0
chinchwad,
8900000634422,0
8900000634439,1
8900000634446,1
8900000634453,1
8900000634460,1
8900000634477,0
8900000634330,0
8900000634347,1
8900000634354,1
8900000634361,1
8900000634378,1
8900000634385,0
8900000634392,0
8900000618354,0
8900000618361,1
8900000618378,1
8900000618385,1
8900000618392,1
8900000618408,0
8900000618422,0
8900000618439,1
8900000618446,1
8900000618453,1
8900000618460,1
8900000618477,0
8900000616350,0
8900000616367,1
8900000616374,1
8900000616381,1
8900000616398,1
8900000616404,0
8900000620883,0
8900000620890,1
8900000620906,1
8900000620913,1
8900000620920,1
8900000620937,0
8900000622030,0
8900000622047,1
8900000622054,1
8900000622061,1
8900000622078,1
8900000622085,0
8900000626434,0
8900000626441,1
8900000626458,1
8900000626465,1
8900000626472,1
8900000626489,0
8900000626373,0
8900000626380,1
8900000626397,1
8900000626403,1
8900000626410,1
8900000626427,0
8900000628438,0
8900000628445,1
8900000628452,1
8900000628469,1
8900000628476,1
8900000628483,0
8900000622092,0
8900000622108,1
8900000622115,1
8900000622122,1
8900000622139,1
8900000622146,0
dsklifestyle,
8900000634422,0
8900000634439,1
8900000634446,1
8900000634453,1
8900000634460,1
8900000634477,0
8900000634330,0
8900000634347,1
8900000634354,1
8900000634361,1
8900000634378,1
8900000634385,0
8900000634392,0
8900000618354,0
8900000618361,1
8900000618378,1
8900000618385,1
8900000618392,1
8900000618408,0
8900000618422,0
8900000618439,1
8900000618446,1
8900000618453,1
8900000618460,1
8900000618477,0
8900000616350,0
8900000616367,1
8900000616374,1
8900000616381,1
8900000616398,1
8900000616404,0
8900000620883,0
8900000620890,1
8900000620906,1
8900000620913,1
8900000620920,1
8900000620937,0
8900000622030,0
8900000622047,1
8900000622054,1
8900000622061,1
8900000622078,1
8900000622085,0
8900000626434,0
8900000626441,1
8900000626458,1
8900000626465,1
8900000626472,1
8900000626489,0
8900000626373,0
8900000626380,1
8900000626397,1
8900000626403,1
8900000626410,1
8900000626427,0
8900000628438,0
8900000628445,1
8900000628452,1
8900000628469,1
8900000628476,1
8900000628483,0
8900000622092,0
8900000622108,1
8900000622115,1
8900000622122,1
8900000622139,1
8900000622146,0
lkmedical,
8900000634422,0
8900000634439,1
8900000634446,1
8900000634453,1
8900000634460,1
8900000634477,0
8900000634330,0
8900000634347,1
8900000634354,1
8900000634361,1
8900000634378,1
8900000634385,0
8900000634392,0
8900000618354,0
8900000618361,1
8900000618378,1
8900000618385,1
8900000618392,1
8900000618408,0
8900000618422,0
8900000618439,1
8900000618446,1
8900000618453,1
8900000618460,1
8900000618477,0
8900000616350,0
8900000616367,1
8900000616374,1
8900000616381,1
8900000616398,1
8900000616404,0
8900000620883,0
8900000620890,1
8900000620906,1
8900000620913,1
8900000620920,1
8900000620937,0
8900000622030,0
8900000622047,1
8900000622054,1
8900000622061,1
8900000622078,1
8900000622085,0
8900000626434,0
8900000626441,1
8900000626458,1
8900000626465,1
8900000626472,1
8900000626489,0
8900000626373,0
8900000626380,1
8900000626397,1
8900000626403,1
8900000626410,1
8900000626427,0
8900000628438,0
8900000628445,1
8900000628452,1
8900000628469,1
8900000628476,1
8900000628483,0
8900000622092,0
8900000622108,1
8900000622115,1
8900000622122,1
8900000622139,1
8900000622146,0
elegantenterprises,
8900000634422,0
8900000634439,1
8900000634446,1
8900000634453,1
8900000634460,1
8900000634477,0
8900000634330,0
8900000634347,1
8900000634354,1
8900000634361,1
8900000634378,1
8900000634385,0
8900000634392,0
8900000618354,0
8900000618361,1
8900000618378,1
8900000618385,1
8900000618392,1
8900000618408,0
8900000618422,0
8900000618439,1
8900000618446,1
8900000618453,1
8900000618460,1
8900000618477,0
8900000616350,0
8900000616367,1
8900000616374,1
8900000616381,1
8900000616398,1
8900000616404,0
8900000620883,0
8900000620890,1
8900000620906,1
8900000620913,1
8900000620920,1
8900000620937,0
8900000622030,0
8900000622047,1
8900000622054,1
8900000622061,1
8900000622078,1
8900000622085,0
8900000626434,0
8900000626441,1
8900000626458,1
8900000626465,1
8900000626472,1
8900000626489,0
8900000626373,0
8900000626380,1
8900000626397,1
8900000626403,1
8900000626410,1
8900000626427,0
8900000628438,0
8900000628445,1
8900000628452,1
8900000628469,1
8900000628476,1
8900000628483,0
8900000622092,0
8900000622108,1
8900000622115,1
8900000622122,1
8900000622139,1
8900000622146,0
jagrutcreation,
8900000634422,0
8900000634439,1
8900000634446,1
8900000634453,1
8900000634460,1
8900000634477,0
8900000634330,0
8900000634347,1
8900000634354,1
8900000634361,1
8900000634378,1
8900000634385,0
8900000634392,0
8900000618354,0
8900000618361,1
8900000618378,1
8900000618385,1
8900000618392,1
8900000618408,0
8900000618422,0
8900000618439,1
8900000618446,1
8900000618453,1
8900000618460,1
8900000618477,0
8900000616350,0
8900000616367,1
8900000616374,1
8900000616381,1
8900000616398,1
8900000616404,0
8900000620883,0
8900000620890,1
8900000620906,1
8900000620913,1
8900000620920,1
8900000620937,0
8900000622030,0
8900000622047,1
8900000622054,1
8900000622061,1
8900000622078,1
8900000622085,0
8900000626434,0
8900000626441,1
8900000626458,1
8900000626465,1
8900000626472,1
8900000626489,0
8900000626373,0
8900000626380,1
8900000626397,1
8900000626403,1
8900000626410,1
8900000626427,0
8900000628438,0
8900000628445,1
8900000628452,1
8900000628469,1
8900000628476,1
8900000628483,0
8900000622092,0
8900000622108,1
8900000622115,1
8900000622122,1
8900000622139,1
8900000622146,0
lksangli,
8900000634422,0
8900000634439,1
8900000634446,1
8900000634453,1
8900000634460,1
8900000634477,0
8900000634330,0
8900000634347,1
8900000634354,1
8900000634361,1
8900000634378,1
8900000634385,0
8900000634392,0
8900000618354,0
8900000618361,1
8900000618378,1
8900000618385,1
8900000618392,1
8900000618408,0
8900000618422,0
8900000618439,1
8900000618446,1
8900000618453,1
8900000618460,1
8900000618477,0
8900000616350,0
8900000616367,1
8900000616374,1
8900000616381,1
8900000616398,1
8900000616404,0
8900000620883,0
8900000620890,1
8900000620906,1
8900000620913,1
8900000620920,1
8900000620937,0
8900000622030,0
8900000622047,1
8900000622054,1
8900000622061,1
8900000622078,1
8900000622085,0
8900000626434,0
8900000626441,1
8900000626458,1
8900000626465,1
8900000626472,1
8900000626489,0
8900000626373,0
8900000626380,1
8900000626397,1
8900000626403,1
8900000626410,1
8900000626427,0
8900000628438,0
8900000628445,1
8900000628452,1
8900000628469,1
8900000628476,1
8900000628483,0
8900000622092,0
8900000622108,1
8900000622115,1
8900000622122,1
8900000622139,1
8900000622146,0
kolhapur,
8900000634422,0
8900000634439,1
8900000634446,1
8900000634453,1
8900000634460,1
8900000634477,0
8900000634330,0
8900000634347,1
8900000634354,1
8900000634361,1
8900000634378,1
8900000634385,0
8900000634392,0
8900000618354,0
8900000618361,1
8900000618378,1
8900000618385,1
8900000618392,1
8900000618408,0
8900000618422,0
8900000618439,1
8900000618446,1
8900000618453,1
8900000618460,1
8900000618477,0
8900000616350,0
8900000616367,1
8900000616374,1
8900000616381,1
8900000616398,1
8900000616404,0
8900000620883,0
8900000620890,1
8900000620906,1
8900000620913,1
8900000620920,1
8900000620937,0
8900000622030,0
8900000622047,1
8900000622054,1
8900000622061,1
8900000622078,1
8900000622085,0
8900000626434,0
8900000626441,1
8900000626458,1
8900000626465,1
8900000626472,1
8900000626489,0
8900000626373,0
8900000626380,1
8900000626397,1
8900000626403,1
8900000626410,1
8900000626427,0
8900000628438,0
8900000628445,1
8900000628452,1
8900000628469,1
8900000628476,1
8900000628483,0
8900000622092,0
8900000622108,1
8900000622115,1
8900000622122,1
8900000622139,1
8900000622146,0
lkamravati,
8900000634422,0
8900000634439,1
8900000634446,1
8900000634453,1
8900000634460,1
8900000634477,0
8900000634330,0
8900000634347,1
8900000634354,1
8900000634361,1
8900000634378,1
8900000634385,0
8900000634392,0
8900000618354,0
8900000618361,1
8900000618378,1
8900000618385,1
8900000618392,1
8900000618408,0
8900000618422,0
8900000618439,1
8900000618446,1
8900000618453,1
8900000618460,1
8900000618477,0
8900000616350,0
8900000616367,1
8900000616374,1
8900000616381,1
8900000616398,1
8900000616404,0
8900000620883,0
8900000620890,1
8900000620906,1
8900000620913,1
8900000620920,1
8900000620937,0
8900000622030,0
8900000622047,1
8900000622054,1
8900000622061,1
8900000622078,1
8900000622085,0
8900000626434,0
8900000626441,1
8900000626458,1
8900000626465,1
8900000626472,1
8900000626489,0
8900000626373,0
8900000626380,1
8900000626397,1
8900000626403,1
8900000626410,1
8900000626427,0
8900000628438,0
8900000628445,1
8900000628452,1
8900000628469,1
8900000628476,1
8900000628483,0
8900000622092,0
8900000622108,1
8900000622115,1
8900000622122,1
8900000622139,1
8900000622146,0
lksolapur,
8900000634422,0
8900000634439,1
8900000634446,1
8900000634453,1
8900000634460,1
8900000634477,0
8900000634330,0
8900000634347,1
8900000634354,1
8900000634361,1
8900000634378,1
8900000634385,0
8900000634392,0
8900000618354,0
8900000618361,1
8900000618378,1
8900000618385,1
8900000618392,1
8900000618408,0
8900000618422,0
8900000618439,1
8900000618446,1
8900000618453,1
8900000618460,1
8900000618477,0
8900000616350,0
8900000616367,1
8900000616374,1
8900000616381,1
8900000616398,1
8900000616404,0
8900000620883,0
8900000620890,1
8900000620906,1
8900000620913,1
8900000620920,1
8900000620937,0
8900000622030,0
8900000622047,1
8900000622054,1
8900000622061,1
8900000622078,1
8900000622085,0
8900000626434,0
8900000626441,1
8900000626458,1
8900000626465,1
8900000626472,1
8900000626489,0
8900000626373,0
8900000626380,1
8900000626397,1
8900000626403,1
8900000626410,1
8900000626427,0
8900000628438,0
8900000628445,1
8900000628452,1
8900000628469,1
8900000628476,1
8900000628483,0
8900000622092,0
8900000622108,1
8900000622115,1
8900000622122,1
8900000622139,1
8900000622146,0
lkbhosari,
8900000634422,0
8900000634439,1
8900000634446,1
8900000634453,1
8900000634460,1
8900000634477,0
8900000634330,0
8900000634347,1
8900000634354,1
8900000634361,1
8900000634378,1
8900000634385,0
8900000634392,0
8900000618354,0
8900000618361,1
8900000618378,1
8900000618385,1
8900000618392,1
8900000618408,0
8900000618422,0
8900000618439,1
8900000618446,1
8900000618453,1
8900000618460,1
8900000618477,0
8900000616350,0
8900000616367,1
8900000616374,1
8900000616381,1
8900000616398,1
8900000616404,0
8900000620883,0
8900000620890,1
8900000620906,1
8900000620913,1
8900000620920,1
8900000620937,0
8900000622030,0
8900000622047,1
8900000622054,1
8900000622061,1
8900000622078,1
8900000622085,0
8900000626434,0
8900000626441,1
8900000626458,1
8900000626465,1
8900000626472,1
8900000626489,0
8900000626373,0
8900000626380,1
8900000626397,1
8900000626403,1
8900000626410,1
8900000626427,0
8900000628438,0
8900000628445,1
8900000628452,1
8900000628469,1
8900000628476,1
8900000628483,0
8900000622092,0
8900000622108,1
8900000622115,1
8900000622122,1
8900000622139,1
8900000622146,0
