lksangli,
8900000335961,1
8900000338405,2
8900000349685,1
8900000349760,1
8900000382071,1
8900000387304,1
8900000393633,1
8900000394104,1
8900000394159,1
8900000395156,1
8900000395682,2
8900000397754,1
8900000398492,1
8900000406234,1
8900000416547,1
8900000439416,1
8900000469123,1
8900000475551,1
8900000476275,1
8900000484362,1
8900000484980,1
8900000490615,1
8900000500710,1
8900000502561,1
8900000503827,1
8900000505876,1
8900000507320,1
8900000509249,1
8900000511143,2
8900000513154,1
8900000513260,1
8900000527212,1
8900000576272,1
8900000582822,1
8900000582860,1
8900000583133,1
8900000583287,1
8900000584734,1
8900000585724,1
8900000586486,1
8900000587278,1
8900000593453,1
8900000593781,1
8900000594146,1
8900000596447,1
8900000596485,1
8900000601707,1
8900000602476,1
8900000604272,1
8900000606061,1
8900000607983,1
8900000609543,1
8900000610921,1
8900000616183,1
8900000616305,1
8900000616350,1
8900000618590,1
8900000620050,1
8900000620944,1
8900000620999,1
8900000621774,1
8900000622078,1
8900000622825,1
8900000623181,1
8900000623716,1
8900000624188,1
8900000626458,1
8900000626595,1
8900000626694,1
8900000627394,1
8900000628469,1
8900000630707,1
8900000630769,1
8900000630776,1
8900000630783,2
8900000630790,1
8900000630813,1
8900000631018,1
8900000632343,1
8900000634347,1
8900000635436,1
8900000635474,1
8900000635672,4
8900000636532,1
8900000638093,1
8900000638161,1
8900000638185,1
8900000639083,1
8900000639106,1
8900000639977,1
8900000640171,1
8900000640935,1
8900000640959,1
8900000641079,2
8900000641086,1
8900000641376,1
8900000642083,1
8900000643035,1
8900000643080,1
8900000643271,1
