kolhapur,
8900000252671,1
8900000338405,14
8900000349678,1
8900000349739,1
8900000349746,1
8900000392605,1
8900000393633,1
8900000393664,1
8900000393992,1
8900000394111,1
8900000394128,1
8900000394159,1
8900000395149,1
8900000395675,2
8900000395682,2
8900000396344,1
8900000398027,1
8900000398478,1
8900000398492,1
8900000403981,1
8900000405831,1
8900000407446,1
8900000409235,1
8900000410187,1
8900000410194,1
8900000410200,1
8900000416837,1
8900000442980,1
8900000475797,1
8900000484560,1
8900000484812,1
8900000488841,1
8900000491223,1
8900000491889,1
8900000497737,1
8900000500727,1
8900000501175,1
8900000503698,1
8900000503841,1
8900000504213,1
8900000504558,1
8900000504565,1
8900000504589,1
8900000505555,1
8900000507948,1
8900000509782,1
8900000511143,1
8900000513147,1
8900000513154,1
8900000513185,1
8900000515349,1
8900000541881,1
8900000560530,1
8900000569700,1
8900000572380,0
8900000573073,1
8900000573097,1
8900000575077,1
8900000577736,1
8900000577781,0
8900000577866,1
8900000577941,1
8900000578559,1
8900000581658,1
8900000581894,1
8900000582822,2
8900000582839,1
8900000582846,1
8900000582860,1
8900000582884,2
8900000583119,1
8900000586172,1
8900000586226,1
8900000586479,1
8900000586486,1
8900000587001,1
8900000589920,1
8900000592456,1
8900000592838,1
8900000593460,1
8900000593477,1
8900000593484,1
8900000593514,1
8900000593736,1
8900000595259,1
8900000595532,1
8900000596225,1
8900000598243,1
8900000600106,1
8900000600113,1
8900000600915,1
8900000601264,1
8900000601844,1
8900000602711,1
8900000603060,1
8900000606351,-1
8900000607983,1
8900000610914,1
8900000612017,-1
8900000612024,1
8900000612512,1
8900000612536,1
8900000612901,1
8900000615285,1
8900000616374,1
8900000616442,1
8900000616992,1
8900000617647,1
8900000618026,1
8900000618439,1
8900000619009,1
8900000619191,1
8900000619207,1
8900000620036,1
8900000620999,1
8900000622214,1
8900000622887,1
8900000624096,1
8900000624423,1
8900000625055,1
8900000625444,1
8900000625765,1
8900000626403,1
8900000626625,1
8900000626717,1
8900000627592,1
8900000629527,1
8900000629985,1
8900000630059,1
8900000630523,1
8900000630769,1
8900000630776,3
8900000630783,1
8900000632466,1
8900000632473,2
8900000634231,1
8900000634354,1
8900000634736,1
8900000635399,1
8900000635511,1
8900000635597,1
8900000635665,3
8900000635696,1
8900000635719,1
8900000636884,1
8900000637096,1
8900000638093,0
8900000638161,1
8900000639083,1
8900000639137,1
8900000639250,1
8900000639342,1
8900000639380,1
8900000639403,1
8900000639533,2
8900000639540,2
8900000639557,1
8900000639861,1
8900000639984,1
8900000640928,1
8900000640935,1
8900000640942,1
8900000641314,1
8900000642489,1
8900000642519,1
8900000642991,1
8900000643004,1
8900000643387,1
8900000643394,1
