PRODUCT NAME,D.N.,MRP
FORMAL SHIRT,F29073,895
SLIM SHIRT,S29796,895
LONG KURTA,K28709,1195
LONG KURTA,K27230,1995
LONG KURTA,K27231,1995
LONG KURTA,K27266,1995
LONG KURTA,K27212,1995
LONG KURTA,K28707,1195
LONG KURTA,K27261,1995
LONG KURTA,K27221,1995
LONG KURTA,K28708,1195
LONG KURTA,K27233,1995
JACKET,J27233,1595
JACKET,J27745,895
JACKET,J27746,995
JACKET,J27744,895
JACKET,J28839,895
JACKET,J28837,895
JACKET,J28838,895
JACKET,J27261,1495
JACKET,J27266,1495
JEANS,A29317,1295
JEANS,A29318,1295
JEANS,A29315,1295
JEANS,A29320,1295
JEANS,A29316,1295
trouser,l14681,1595
trouser,l14681,1750
